ref,run,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,CoO,NiO,H2O,CO2,total,_Fe3Fetotal,T_K,P_bar,_Fe3Fe2,olivine_forsterite,fO2,kd_FeTMg,kd_Fe2Mg
D2013,M380,40.239,0.891,7.155,9.837,0.198,17.883,12.519,0.981,0.036,0,0.252,,,,10,99.991,,1773.15,40000,,0.915,,0.3,
D2013,M381,42.14208,0.5604,7.49068,10.30202,0.19614,20.60404,11.23602,0.5604,0.03736,0,0.26152,,,,6.6,99.99066,,1823.15,40000,,0.92,,0.31,
D2013,M367,40.7652,0.7452,5.5568,10.1936,0.23,21.3072,12.0428,1.1132,0.0368,0,0,,,,8,99.9908,,1873.15,50000,,0.917,,0.34,
D2013,M370,42.6885,0.4775,6.63725,10.43815,0.2292,23.71265,10.43815,0.84995,0.0382,0,0,,,,4.5,100.00955,,1923.15,50000,,0.92,,0.35,
D2013,M376,43.28025,0.4825,5.7707,10.5764,0.2123,25.96815,9.62105,0.579,0.0193,0,0,,,,3.5,100.00965,,1973.15,50000,,0.926,,0.35,
D2013,G221,34.65,9.774,8.352,9.774,0.099,14.22,9.774,3.024,0.189,0,0.153,,,,10,100.009,,1648.15,30000,,0.893,,0.31,
D2013,G222,36.19,12.0602,8.0746,10.2084,0.0846,14.852,9.2778,3.0644,0.094,0,0.094,,,,6,100,,1648.15,30000,,0.886,,0.33,
Da2011,Step 1,42.77,2.37,15.63,9.44,0.13,16.39,10.83,2.15,0.22,0,0.07,,,,,100,,1703.15,30000,,0.906,,0.32,
Da2011,Step 2,45.27,2.43,13.67,9.29,0.15,15.75,10.1,2.83,0.38,0,0.12,,,,,99.99,,1703.15,30000,,0.902,,0.33,
Da2011,Step 3,45.35,2.23,12.81,9.57,0.15,16.57,10.2,2.36,0.62,0,0.15,,,,,100.01,,1703.15,30000,,0.903,,0.33,
Da2011,Step 4,45.05,2.1,13.59,9.59,0.15,16.23,10.32,1.94,0.91,0,0.13,,,,,100.01,,1703.15,30000,,0.902,,0.33,
Da2011,Step 5,45.52,2.32,12.75,9.71,0.16,15.81,10.55,1.88,1.16,0,0.13,,,,,99.99,,1703.15,30000,,0.898,,0.33,
Da2013,A740,47.63,1.95,13.21,8.58,0.14,14.81,9.21,1.69,2.6,0,0.18,,,,,100,,1718.15,30000,,0.901,,0.34,
Da2013,A756,47.66,2.26,14.29,8.97,0.15,12.89,8.19,1.97,3.5,0,0.12,,,,,100,,1713.15,30000,,0.898,,0.29,
Da2013,A790,45.7,2.16,13.8,9.8,0.13,14.8,8.4,1.16,3.9,0,0.15,,,,,100,,1713.15,30000,,0.9,,0.3,
Da2013,A828,45.88,2.24,13.26,9.1,0.14,14.89,9.6,1.37,3.4,0,0.12,,,,,100,,1713.15,30000,,0.901,,0.32,
Da2013,A893,46.83,2.53,13.19,9.52,0.11,13.4,8.07,1.56,4.71,0,0.08,,,,,100,,1703.15,30000,,0.896,,0.29,
Da2013,A900,45.17,2.62,12.89,9.15,0.11,14.11,8.85,1.94,5.1,0,0.05,,,,,99.99,,1708.15,30000,,0.899,,0.31,
Da2013,A915,46.57,2.41,13.27,9.53,0.12,13.7,8.74,1.38,4.18,0,0.08,,,,,99.98,,1703.15,30000,,0.897,,0.29,
Da2013,A987,44.57,2.63,12.5,10.59,0.14,15.79,9.29,2.04,2.37,0,0.08,,,,,100,,1723.15,30000,,0.9,,0.3,
Da2013,A989,44.33,3.18,12.6,10.71,0.14,14.81,9.01,2.19,3,0,0.04,,,,,100.01,,1723.15,30000,,0.89,,0.3,
DK2017,od109,25.603992,0.451548,6.053184,6.998994,0,13.91256,7.401726,0.500364,0.042714,0,0.06102,,,26.32,12.66,100.006102,,1373.15,60000,,0.891,,0.43,
DK2017,od109,30.23771,0.35123,7.529094,5.4281,0,14.170534,5.479188,0.54281,0.03193,0,0.102176,,,32.89,3.25,100.012772,,1373.15,60000,,0.925,,0.37,
DK2017,od108,18.453102,0.507836,5.57065,5.948936,0,10.343272,10.18263,0.730662,0.031092,0,0.05182,,,34.87,13.31,100,,1273.15,60000,,0.89,,0.38,
DK2017,od108,25.6581,0.44161,7.12725,4.30989,0,11.35888,6.07074,0.84968,0.02795,0,0.06149,,,43.58,0.52,100.00559,,1273.15,60000,,0.926,,0.38,
DK2017,od111,13.109523,0.380289,4.688838,4.730628,0,8.14905,9.991989,0.66864,0.020895,0,0.050148,,,53.39,4.82,100,,1173.15,60000,,0.885,,0.4,
DK2017,od111,18.480396,0.508442,5.029794,3.412024,0,7.870346,5.79876,0.878218,0.02101,0,0.02101,,,57.36,0.62,100,,1173.15,60000,,0.925,,0.33,
DK2017,od103,24.685836,0.487458,5.831442,7.2216,0,13.612716,7.709058,0.547638,0.03009,0,0.048144,,,27.69,12.13,99.993982,,1373.15,50000,,0.884,,0.44,
DK2017,od103,29.2077,0.529125,6.6483,4.600275,0,14.149425,6.368175,0.6225,0.031125,0,0.08715,,,34.25,3.5,99.993775,,1373.15,50000,,0.917,,0.5,
DK2017,od101,18.811546,0.600821,5.141539,5.832749,0,11.612328,10.320297,0.770965,0.021268,0,0.058487,,,34.12,12.71,100,,1273.15,50000,,0.891,,0.44,
DK2017,od101,26.862143,0.611933,6.679792,3.643003,0,11.661041,6.782734,0.880726,0.017157,0,0.051471,,,42.29,0.52,100,,1273.15,50000,,0.919,,0.51,
DK2017,od102,13.534345,0.478229,4.68943,5.381237,0,10.070667,11.240703,0.951815,0.018572,0,0.060359,,,48.22,5.35,99.995357,,1173.15,50000,,0.886,,0.43,
DK2017,od102,21.457152,0.549936,5.364288,3.101832,0,9.445392,7.395192,0.86832,0.028944,0,0.028944,,,51.23,0.53,100,,1173.15,50000,,0.924,,0.44,
DK2017,od110,23.835011,0.542098,5.668961,6.701254,0,13.246799,7.024206,0.553632,0.051903,0,0.051903,,,28.7,13.63,100.005767,,1373.15,40000,,0.891,,0.43,
DK2017,od110,29.25714,0.51216,7.048602,5.012766,0,13.994772,7.061406,0.742632,0.038412,0,0.358512,,,32.26,3.72,100.006402,,1373.15,40000,,0.924,,0.41,
DK2017,od107,18.193287,0.680022,5.18112,6.179565,0,10.842573,11.884194,0.928284,0.037779,0,0.037779,,,32.66,13.37,99.994603,,1273.15,40000,,0.886,,0.4,
DK2017,od107,25.858819,0.792855,6.671728,4.128719,0,12.321554,7.922677,0.922061,0.041111,0,0.082222,,,38.01,3.26,100.011746,,1273.15,40000,,0.919,,0.47,
DK2017,od104,14.042566,0.842456,5.010654,5.6327,0,8.909462,13.043374,1.42042,0.029388,0,0.04898,,,38.19,12.83,100,,1173.15,40000,,0.887,,0.36,
DK2017,od104,21.216,0.84864,5.4912,3.060096,0,9.984,7.932288,1.337856,0.009984,0,0.039936,,,49.49,0.59,100,,1173.15,40000,,0.919,,0.51,
E2011,TWM-2.011,44.87,0.53,8.07,13.77,0.19,24,7.98,0.22,0.02,0.01,0.32,,,,,99.98,,2073.15,40000,,0.91,,0.31,
E2011,TWM-2.013,44,0.78,6.74,15.32,0.2,22,10.38,0.31,0.03,0.01,0.24,,,,,100.01,,2023.15,40000,,0.887,,0.33,
E2011,LPUM-2.018,45.49,0.37,7.65,12.09,0.19,26.33,7.17,0.23,0.05,0.02,0.41,,,,,100,,2023.15,40000,,0.922,,0.33,
ES1984,164,47.33,0.89,13.67,9.75,0.17,16.43,10.75,0.94,0.06,0,0,,,,,99.99,,1743.15,25000,,0.895,,0.35,
FG1988,T-2087,45.79,1.08,11.69,9.03,0,19.97,10.65,1.36,0,0,0.42,,,,,99.99,,1873.15,35000,,0,,,
GG1998,B359,44.44023,0.6657,17.4033,7.44633,0.08559,11.93505,10.52757,2.39652,0.12363,0,0.08559,,,4.9,,100.00951,,1533.15,16000,,0.894,,0.34,
GG1998,B277,43.921842,0.591003,16.8858,7.382847,0.159477,11.979537,10.534863,2.176392,0.09381,0,0.084429,,,5,1.19,100,,1528.15,16000,,0.89,,0.36,
GG1998,B366,44.99152,0.67592,17.12648,7.91112,0.13328,11.63344,10.03408,2.46568,0.11424,0,0.12376,,,4.8,,100.00952,,1503.15,16000,,0.88,,0.36,
GG1998,B365,43.47294,0.63546,15.26973,8.13015,0.121485,13.23252,10.158015,2.177385,0.102795,0,0.14952,,,5.3,1.25,100,,1563.15,20000,,0.89,,0.36,
GG1998,B399,44.037,0.6524,15.18228,7.81948,0.11184,12.82432,9.93512,2.43252,0.12116,0,0.07456,,,6.8,,99.99068,,1548.15,20000,,0.897,,0.34,
G2013,C278,47.25,1.03,16.64,9.17,0.19,11.43,8.52,2.83,2.84,0,0.1,,,,,100,,1673.15,22000,,0.872,,0.33,
G2013,C272,48.16,0.95,15.45,8.83,0.17,12.52,9.12,2.49,2.18,0,0.12,,,,,99.99,,1713.15,24000,,0.884,,0.33,
G2013,C286,46.75,0.98,15.48,9.16,0.17,12.71,9.15,2.77,2.71,0,0.11,,,,,99.99,,1688.15,24000,,0.884,,0.33,
G2013,C282,46.59,1.21,16.35,8.23,0.16,11.97,8.37,3.52,3.5,0,0.09,,,,,99.99,,1683.15,24000,,0.893,,0.31,
G2013,C271,47.84,1.25,15.37,10.02,0.17,10.48,7.7,3.25,3.85,0,0.07,,,,,100,,1673.15,24000,,0.854,,0.32,
G2013,C284,47.17,1.16,14.92,8.43,0.19,12.21,8.76,3.99,3.06,0,0.13,,,,,100.02,,1703.15,26000,,0.889,,0.32,
G2013,C277,46.42,1.34,15.27,9.58,0.18,10.96,7.77,4.2,4.22,0,0.05,,,,,99.99,,1673.15,26000,,0.864,,0.32,
HZ1996,,46,0.44,7.47,13.19,0.25,21.04,8.15,2.68,0,0.19,0.59,,,,,100,,1999.15,50000,,0.896,,0.33,
HZ1996,,45,0.65,3.18,15.97,0.21,25.4,6.91,2.11,0,0.21,0.35,,,,,99.99,,2241.15,97000,,0.896,,0.33,
H1997,53,35.99,0.74,8.84,10.4,0.05,22.94,18.54,2.23,0.09,0,0.19,,,,,100.01,,1673.15,30000,,0.915,,0.37,
H1997,54,38.39,1.11,8.28,9.24,0.06,24.3,16.67,1.55,0.1,0,0.29,,,,,99.99,,1723.15,30000,,0,,,
H1997,55,40.23,0.61,10.95,10.49,0.01,23.08,12.39,1.87,0.05,0,0.31,,,,,99.99,,1748.15,30000,,0,,,
H1997,56,42.78,0.6,10.59,10.43,0.06,24.87,9.34,1.16,0.01,0,0.17,,,,,100.01,,1798.15,30000,,0.921,,0.36,
K1997,L69,45.97,0.49,16.5,9.06,0.06,14.48,11.14,2.19,0.08,0,0.03,,,,,100,,1689.15,19000,,0.896,,0.33,
K1997,L92,45.73,0.65,16.03,7.13,0,15.42,11.82,2.93,0.14,0,0.14,,,,,99.99,,1669.15,19000,,0.913,,0.37,
K1997,L82,45.52,0.59,14.8,10.38,0,15.41,10.03,2.93,0.17,0,0.18,,,,,100.01,,1688.15,21000,,0.889,,0.33,
K1997,L115,45.53,0.79,15.44,10.66,0.07,14.25,9.4,3.48,0.23,0,0.16,,,,,100.01,,1713.15,21000,,0.878,,0.33,
K1997,L101,45.37,0.89,15.09,11.54,0,13.57,9.13,3.95,0.29,0,0.16,,,,,99.99,,1738.15,23000,,0.867,,0.32,
K1997,L105,45.35,0.68,14.95,10.66,0,15.25,9.9,2.82,0.17,0,0.22,,,,,100,,1753.15,23000,,0.886,,0.33,
K1997,L109,45.62,0.62,15.14,10.43,0,15.34,9.74,2.74,0.16,0,0.21,,,,,100,,1769.15,23000,,0.883,,0.35,
K1997,L112,46.22,0.92,16.02,9.01,0.06,13.47,9.13,5.02,0.15,0,0,,,,,100,,1683.15,21000,,0.89,,0.33,
K1997,L48,45.4,0.21,16.21,9.78,0.06,17.43,9.69,0.94,0.03,0,0.24,,,,,99.99,,1738.15,20000,,0.9,,0.35,
K1997,L128,45.54,0.27,14.63,8.05,0,18.22,11.87,1.14,0.03,0,0.26,,,,,100.01,,1784.15,23000,,0.922,,0.34,
K1998,KH-22,43.04,3.32,15.45,11.5,0,14.26,7.82,3.68,0.87,0,0.06,,,,,100,,1773.15,30000,,0.865,,0.35,
K1998,KH-49,45.98,1.65,12.27,10.57,0,17.66,8.82,2.55,0.39,0,0.1,,,,,99.99,,1798.15,30000,,0.887,,0.38,
K1998,KH-41,43.32,2.94,14.88,11.54,0,14.99,6.64,4.84,0.8,0,0.04,,,,,99.99,,1773.15,30000,,0.865,,0.36,
K1998,KH-26,46.63,1.97,12.68,10.5,0,15.57,9.4,2.75,0.42,0,0.08,,,,,100,,1798.15,30000,,0.874,,0.38,
